epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1155.18,1.85084,4.92002,2.1418,0.21924,0.06668,0.03794,0.0221,1.91252,5.33022,2.33245,0.000107275,0.000107275,0.000107275
2,2370.16,1.69654,4.39471,1.94657,0.1697,0.12209,0.05678,0.03352,1.90785,5.09046,2.31985,0.000210686,0.000210686,0.000210686
3,3486.26,1.70412,4.11081,1.90966,0.23666,0.16884,0.09723,0.05778,1.86028,4.31552,2.14756,0.000309833,0.000309833,0.000309833
4,4596.07,1.64814,3.84478,1.84901,0.20783,0.20044,0.12503,0.07832,1.73751,3.92291,2.04767,0.000303814,0.000303814,0.000303814
5,5705.94,1.63089,3.62851,1.82262,0.24028,0.2329,0.17851,0.10528,1.72699,3.5361,2.08664,0.000297418,0.000297418,0.000297418
6,6809.14,1.59761,3.44767,1.79713,0.30643,0.2528,0.22142,0.13424,1.71825,3.29388,2.02719,0.000291023,0.000291023,0.000291023
7,7908.92,1.5711,3.29489,1.7575,0.33248,0.27749,0.23207,0.15286,1.65902,3.10981,1.98803,0.000284628,0.000284628,0.000284628
8,9014.27,1.5555,3.14081,1.73041,0.39036,0.28821,0.26042,0.16497,1.78949,2.97747,2.06195,0.000278232,0.000278232,0.000278232
9,10116,1.53794,3.07205,1.71713,0.38926,0.30145,0.28778,0.18864,1.62003,2.79313,1.93133,0.000271837,0.000271837,0.000271837
10,11222.9,1.51335,2.93414,1.68304,0.41059,0.343,0.33642,0.21019,1.63167,2.63607,1.91817,0.000265441,0.000265441,0.000265441
11,12322.4,1.50557,2.87119,1.66981,0.47166,0.32584,0.35114,0.22959,1.57806,2.47847,1.84259,0.000259046,0.000259046,0.000259046
12,13425.5,1.49326,2.81957,1.66513,0.45338,0.34551,0.36436,0.23613,1.54133,2.47895,1.85607,0.000252651,0.000252651,0.000252651
13,14529.7,1.48495,2.73027,1.65685,0.46821,0.37548,0.40255,0.25755,1.55127,2.29217,1.84592,0.000246255,0.000246255,0.000246255
14,15630.3,1.4707,2.64673,1.63589,0.50609,0.38445,0.42604,0.26986,1.53224,2.31449,1.8335,0.00023986,0.00023986,0.00023986
15,16730.1,1.4501,2.60275,1.62971,0.51217,0.41708,0.45756,0.28602,1.54699,2.1559,1.82042,0.000233464,0.000233464,0.000233464
16,17835.6,1.46435,2.53382,1.61852,0.50272,0.4104,0.45674,0.29467,1.51931,2.13517,1.81256,0.000227069,0.000227069,0.000227069
17,18946.6,1.44339,2.48705,1.60458,0.5607,0.42637,0.48174,0.30035,1.51688,2.11133,1.78858,0.000220674,0.000220674,0.000220674
18,20057.3,1.41822,2.39597,1.57906,0.55741,0.46148,0.50424,0.31913,1.55389,2.00435,1.8281,0.000214278,0.000214278,0.000214278
19,21163.4,1.4217,2.40467,1.58563,0.52949,0.50529,0.52393,0.32541,1.50649,1.93784,1.77789,0.000207883,0.000207883,0.000207883
20,22267.3,1.40591,2.30434,1.55882,0.58416,0.46954,0.52351,0.32513,1.52248,1.95375,1.77447,0.000201487,0.000201487,0.000201487
21,23352.2,1.39849,2.28183,1.56247,0.61185,0.4977,0.55933,0.34982,1.50015,1.82613,1.76328,0.000195092,0.000195092,0.000195092
22,24437.1,1.39922,2.27611,1.55599,0.60709,0.47321,0.56366,0.36264,1.46854,1.8247,1.72149,0.000188697,0.000188697,0.000188697
23,25530.9,1.35953,2.19439,1.52959,0.65552,0.48636,0.59414,0.36931,1.46335,1.78149,1.71855,0.000182301,0.000182301,0.000182301
24,26620.2,1.34477,2.14296,1.51043,0.63967,0.50242,0.60023,0.37741,1.46036,1.73501,1.7209,0.000175906,0.000175906,0.000175906
25,27716.3,1.35169,2.14668,1.5235,0.63008,0.52459,0.61195,0.38391,1.44573,1.69888,1.70499,0.00016951,0.00016951,0.00016951
26,28814.8,1.35838,2.11129,1.51904,0.63554,0.54148,0.59705,0.37477,1.46347,1.68349,1.71187,0.000163115,0.000163115,0.000163115
27,29905.5,1.33743,2.06273,1.50858,0.65066,0.54997,0.6275,0.38335,1.46997,1.65785,1.71907,0.00015672,0.00015672,0.00015672
28,31002.6,1.32772,2.0237,1.49896,0.66779,0.56661,0.64007,0.40289,1.42478,1.59691,1.68283,0.000150324,0.000150324,0.000150324
29,32104.8,1.32169,1.99197,1.48451,0.71532,0.51783,0.63932,0.40003,1.42765,1.62915,1.69525,0.000143929,0.000143929,0.000143929
30,33198.1,1.31041,1.98469,1.4803,0.67467,0.55196,0.65488,0.41001,1.41095,1.59531,1.66833,0.000137533,0.000137533,0.000137533
31,34298.9,1.2944,1.93675,1.46858,0.70091,0.56668,0.67563,0.42409,1.4132,1.52402,1.66921,0.000131138,0.000131138,0.000131138
32,35399,1.28677,1.91626,1.46254,0.71298,0.59588,0.68747,0.43602,1.38848,1.51759,1.66151,0.000124743,0.000124743,0.000124743
33,36503.6,1.28353,1.88319,1.45858,0.71589,0.5851,0.68905,0.43399,1.41974,1.50182,1.67795,0.000118347,0.000118347,0.000118347
34,37607,1.28349,1.87149,1.45779,0.73952,0.60994,0.6989,0.43757,1.41556,1.45524,1.66475,0.000111952,0.000111952,0.000111952
35,38767.7,1.27083,1.82585,1.43936,0.71195,0.6053,0.70384,0.44311,1.40117,1.43777,1.65899,0.000105556,0.000105556,0.000105556
36,39888.4,1.25227,1.7861,1.42798,0.73866,0.60515,0.71246,0.45188,1.38616,1.44198,1.64749,9.9161e-05,9.9161e-05,9.9161e-05
37,40989.4,1.24679,1.78104,1.42611,0.6818,0.66251,0.72389,0.46323,1.37436,1.41451,1.64475,9.27656e-05,9.27656e-05,9.27656e-05
38,42085.7,1.2572,1.78105,1.44334,0.7427,0.60724,0.7276,0.46205,1.36586,1.41146,1.63323,8.63702e-05,8.63702e-05,8.63702e-05
39,43182.9,1.24842,1.77042,1.43056,0.69762,0.6652,0.72728,0.4579,1.38939,1.3863,1.64455,7.99748e-05,7.99748e-05,7.99748e-05
40,44248.3,1.24475,1.76474,1.4251,0.69406,0.66757,0.71954,0.45922,1.37715,1.3738,1.63597,7.35794e-05,7.35794e-05,7.35794e-05
41,45343.7,1.17149,1.19349,1.45418,0.7199,0.68211,0.75545,0.4783,1.37197,1.3282,1.62265,6.7184e-05,6.7184e-05,6.7184e-05
42,46431.7,1.12385,1.11039,1.41672,0.75385,0.67409,0.76946,0.49283,1.33667,1.28851,1.59557,6.07886e-05,6.07886e-05,6.07886e-05
43,47513.6,1.10303,1.06574,1.39166,0.7321,0.72219,0.78285,0.49972,1.337,1.25723,1.6002,5.43932e-05,5.43932e-05,5.43932e-05
44,48603.4,1.10165,1.04453,1.38996,0.78077,0.69826,0.78062,0.50124,1.32992,1.25425,1.58921,4.79978e-05,4.79978e-05,4.79978e-05
45,49734.5,1.08479,1.01793,1.37225,0.73481,0.74029,0.7919,0.51037,1.32035,1.22936,1.58571,4.16024e-05,4.16024e-05,4.16024e-05
46,50864.6,1.06254,0.98554,1.36056,0.7816,0.72707,0.80752,0.51991,1.31491,1.19542,1.57537,3.5207e-05,3.5207e-05,3.5207e-05
